Index,volatility20A,volatility20AAL,volatility20AAP,volatility20AAPL,volatility20ABBV,volatility20ABC,volatility20ABMD,volatility20ABT,volatility20ACN,volatility20ADBE,volatility20ADI,volatility20ADM,volatility20ADP,volatility20ADS,volatility20ADSK,volatility20AEE,volatility20AEP,volatility20AES,volatility20AFL,volatility20AGN,volatility20AIG,volatility20AIV,volatility20AIZ,volatility20AJG
2016-08-17,0.106821675784767,0.245073351847545,0.258005624094863,0.115667788987664,0.0957769097886333,0.106229324699936,0.167193797647887,0.0909200460851475,0.0896364003714251,0.171973237366867,0.1266855199824,0.12296178600377,0.105890197611921,0.249996987522601,0.169631892291471,0.164081810942111,0.15218387739596,0.190070330612091,0.105049860102416,0.193353695461313,0.1550356932415,0.194029378857216,0.0966280735282332,0.0946392083661474
2016-08-18,0.223947120812813,0.22795335036525,0.252528886261273,0.0935154604830869,0.0903410386011707,0.103266109689171,0.157213888707619,0.0726240872860387,0.0753137178697705,0.146112325920946,0.124846409728312,0.0730330176230109,0.0780546179376221,0.212424242608418,0.159984466857942,0.157944544983155,0.167752350565403,0.195229957442872,0.0660293227360784,0.193204389731975,0.0706740886841868,0.179847075326236,0.0739332799397333,0.0781418846799007
2016-08-19,0.248446409391948,0.231412848873641,0.261484381591003,0.0850790052221657,0.0907269994891901,0.0942178907278414,0.157460768969732,0.0703404172418008,0.0782484237336579,0.143085587758204,0.121741550677679,0.069415873335787,0.076260834275959,0.197643373074699,0.156486685044385,0.180257375787306,0.178941695218488,0.236500611546519,0.0845757500450136,0.142245482453482,0.0638409159622162,0.160821807033719,0.0803761313177278,0.0756906610486651
2016-08-22,0.247515325858851,0.255620156011265,0.262938382341864,0.0946293240989882,0.086101948249123,0.0944191639965115,0.0636035620053388,0.067623344436222,0.0752963718076575,0.143360649975078,0.121699242104843,0.0873862811726158,0.0690625357975815,0.211542502771537,0.166047657641959,0.180687948428014,0.177919410714692,0.230604879187002,0.0858958793884468,0.131376889363959,0.0656513477093293,0.170087099703601,0.0832024480666987,0.0806517899382282
2016-08-23,0.248815128915726,0.236967955083832,0.260561563489229,0.0852283960996272,0.108545731641297,0.0803021563717129,0.0685721636285819,0.0678492849375118,0.107244788716314,0.117184377963293,0.121723270900042,0.0991755039899842,0.0690627393610125,0.227227887461672,0.163087830819218,0.181255866548982,0.176527906224299,0.233042737152551,0.0867397483151819,0.130361303860132,0.0610043891575746,0.168864921498959,0.082986048245629,0.0789565979087981
2016-08-24,0.267521575781768,0.217673099701223,0.283483158241378,0.0965786535587545,0.127286632033383,0.061299669001436,0.157935667713447,0.0881655808933794,0.120358037967295,0.101128590881831,0.14768905768314,0.132920630360047,0.0662221464733928,0.211615934800439,0.131768355754843,0.181101993378373,0.175491747039984,0.234750429486101,0.086674034728848,0.251478114553806,0.0588044734975647,0.161339198071695,0.0812761846804929,0.0832889774771572
2016-08-25,0.279714498142438,0.215366513729209,0.284003538191381,0.0981472184553312,0.120720541572724,0.184573070283018,0.157559381229174,0.0847979437777596,0.118182889528821,0.0993850208629674,0.146723445575879,0.154392150163071,0.0655769861909749,0.241552264508367,0.135194604306241,0.182039741745523,0.176090612076702,0.235692055406617,0.0847097541029833,0.281765156045627,0.0501720247041758,0.198230529171805,0.0875981829444538,0.0882011964847024
2016-08-26,0.276208640931013,0.193895196281909,0.282436332477621,0.0651331768597644,0.114181471424325,0.180636035139139,0.19614985026277,0.0873990756270999,0.116718460307977,0.0998417386299583,0.105645114220972,0.153376827535343,0.0634589531189714,0.236226826795201,0.423669538010131,0.20276875653283,0.20738719425953,0.231980806707985,0.0870951723598292,0.257125621050582,0.0356014869128327,0.193812231557508,0.0851668307627489,0.0903613880935435
2016-08-29,0.280223870047641,0.134310825037892,0.174956694950436,0.0649660343752975,0.110907779466066,0.18864652909498,0.223089243517043,0.107903504677461,0.112623142262462,0.0960868490360689,0.105914635894312,0.168960745263575,0.0426754498974131,0.237972772021603,0.42713683386869,0.19973900119274,0.205452315060833,0.235214638980963,0.100525976074019,0.256364191480638,0.0526939216062502,0.190867791486685,0.0765788221554179,0.0870364024297326
2016-08-30,0.282135583285968,0.191442393365875,0.160171118222472,0.0698033800980523,0.106634750347504,0.188345146863475,0.228534401664929,0.111942320097188,0.112430627798552,0.0776144905344966,0.0980004747722939,0.175909945718139,0.0409030619878771,0.153042282354917,0.432178792155618,0.172523064007672,0.197837948287203,0.201742575772716,0.102601806667521,0.257426545942442,0.0456761645530491,0.187534750441101,0.0788413724467277,0.0825935091120144
